email,domain,audience,mode,via,sent_at,last_touch_at,stage,status
info@houstonwellnesscenter.org,houstonwellnesscenter.org,medspa,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
hello@thegoodlifeiv.com,thegoodlifeiv.com,medspa,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,bounced
info@next-health.com,next-health.com,medspa,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
dr.cruz@orlandocityhealth.com,orlandocityhealth.com,medspa,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
mark@vipweightlosscenters.com,vipweightlosscenters.com,medspa,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
info@ethoswellnessok.com,ethoswellnessok.com,medspa,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
consults@promdhealth.com,promdhealth.com,medspa,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
info@polarisrejuvenation.com,polarisrejuvenation.com,medspa,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
info@bostonvitality.com,bostonvitality.com,medspa,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
hello@regenerationutah.com,regenerationutah.com,medspa,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
hello@meetingpointhealth.com,meetingpointhealth.com,medspa,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
info@abluxurymedspa.com,abluxurymedspa.com,medspa,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
info@ivelements.net,ivelements.net,medspa,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
info@theflowwellness.com,theflowwellness.com,medspa,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
info@infiniteyouthmedical.com,infiniteyouthmedical.com,medspa,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
info@monacohealth.net,monacohealth.net,medspa,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
info@totalbodywellness.com,totalbodywellness.com,medspa,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
info@glossaesthetics.com,glossaesthetics.com,medspa,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
info@slmmedspa.com,slmmedspa.com,medspa,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
hello@bettermedspa.com,bettermedspa.com,medspa,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
info@limedicalaesthetics.com,limedicalaesthetics.com,medspa,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
office@drsende.com,drsende.com,medspa,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
info@regenesismd.com,regenesismd.com,medspa,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
tracy@rejuv-kc.com,rejuv-kc.com,medspa,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
info@stronghealth.com,stronghealth.com,medspa,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
info@behuemn.com,behuemn.com,medspa,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
info@drtonivarela.com,drtonivarela.com,medspa,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
partners@noom.com,noom.com,vendor,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
office@juventaswellness.com,juventaswellness.com,medspa,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
support@limitlessbiochem.eu,limitlessbiochem.eu,vendor,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
info@pinnaclepeptidelabs.com,pinnaclepeptidelabs.com,vendor,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
cs@omegamino.net,omegamino.net,vendor,sent,jonathan@marinexisbiologics.com,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,active
