email,note
info@eliteedgebiotech.com,auto-reply
support@ironwithin.io,auto-reply
support@protidehealth.com,auto-reply ticket
support@vantixbio.com,catalog sent
sales@omniopeptides.com,catalog sent
support@calmpeptides.com,catalog sent
support@sigmapeptides.com,catalog sent
bureau@peptidebureau.com,needs answer
support@aminoforge.vegas,vendor - catalog sent; Las Vegas, wants a call, 702-488-5203
info@peptivaresearchlabs.com,vendor - catalog sent
regeneratepeptides@gmail.com,vendor - needs answer; asked for the full price list and a call
cs@novaprimelabs.com,auto-reply
info@strivepharmacy.com,auto-reply
info@agelessrx.com,auto-reply
wholesale@biolongevitylabs.com,vendor - needs answer; Josh Felber (Exec Chairman) replied from josh@; 1.5M vials/yr, wants samples + raw API and finished COAs + best pricing
