email,domain,audience,sent_at,last_touch_at,stage,status
hello@thegoodlifeiv.com,thegoodlifeiv.com,medspa,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,bounced
support@aminocoreresearch.com,aminocoreresearch.com,vendor,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,bounced
sales@geopeptides.com,geopeptides.com,vendor,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,bounced
info@reliablepeptides.com,reliablepeptides.com,vendor,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,bounced
research@peptidecraft.co,peptidecraft.co,vendor,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,bounced
sales@innmi.com,innmi.com,vendor,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,bounced
nexbiopeptix@gmail.com,gmail.com,vendor,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,bounced
hello@proxivalabs.com,proxivalabs.com,vendor,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,bounced
support@masterspeptides.com,masterspeptides.com,vendor,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,bounced
support@peptidedirect.com,peptidedirect.com,vendor,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,bounced
support@crestbiolabs.com,crestbiolabs.com,vendor,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,bounced
support@sqspeptides.com,sqspeptides.com,vendor,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,bounced
support@pepperlicious.com,pepperlicious.com,vendor,2026-09-14T16:00:00Z,2026-09-14T16:00:00Z,0,bounced
info@excaliburpeptides.com,excaliburpeptides.com,vendor,2026-09-11T15:00:00Z,2026-09-11T15:00:00Z,0,bounced
support@synergybiopeps.com,synergybiopeps.com,vendor,2026-09-11T15:00:00Z,2026-09-11T15:00:00Z,0,bounced
support@trustedpeptide.net,trustedpeptide.net,vendor,2026-09-11T00:10:00Z,2026-09-11T00:10:00Z,0,bounced
support@foreveryoungpharmacy.com,foreveryoungpharmacy.com,vendor,2026-09-10T23:45:00Z,2026-09-10T23:45:00Z,0,bounced
contact@navarahealthtx.com,navarahealthtx.com,medspa,2026-09-02T22:00:00Z,2026-09-14T18:26:44Z,1,bounced
info@kjbm.thepreptide.com,kjbm.thepreptide.com,vendor,2026-09-14T18:29:41Z,2026-09-14T18:29:41Z,0,bounced
sales@westcoastpeptidesupply.com,westcoastpeptidesupply.com,vendor,2026-09-15T19:50:21Z,2026-09-15T19:50:21Z,0,bounced
info@agerejuvenation.com,agerejuvenation.com,medspa,2026-09-16T00:07:43Z,2026-09-16T00:07:43Z,0,bounced
info@peptides.org,peptides.org,vendor,2026-09-16T00:07:43Z,2026-09-16T00:07:43Z,0,bounced
contact@knowyourpeptide.com,knowyourpeptide.com,vendor,2026-09-16T07:27:27Z,2026-09-16T07:27:27Z,0,bounced
support@prolabs.bio,prolabs.bio,vendor,2026-09-16T08:29:37Z,2026-09-16T08:29:37Z,0,bounced
service@peptideorders.com,peptideorders.com,vendor,2026-09-16T08:29:37Z,2026-09-16T08:29:37Z,0,bounced
orders@genoscience.net,genoscience.net,vendor,2026-09-16T09:32:10Z,2026-09-16T09:32:10Z,0,bounced
support@rttpeptides.com,rttpeptides.com,vendor,2026-09-16T11:38:05Z,2026-09-16T11:38:05Z,0,bounced
support@lifestylepeptides.com,lifestylepeptides.com,vendor,2026-09-16T12:41:08Z,2026-09-16T12:41:08Z,0,bounced
sales@purepeptidepharma.com,purepeptidepharma.com,vendor,2026-09-16T13:43:47Z,2026-09-16T13:43:47Z,0,bounced
support@spartanpeptides.com,spartanpeptides.com,vendor,2026-09-16T13:43:47Z,2026-09-16T13:43:47Z,0,bounced
customercare@true-peptides.com,true-peptides.com,vendor,2026-09-16T13:43:47Z,2026-09-16T13:43:47Z,0,bounced
support@elementsarms.com,elementsarms.com,vendor,2026-09-16T13:43:47Z,2026-09-16T13:43:47Z,0,bounced
support@pinnaclepeptides.com,pinnaclepeptides.com,vendor,2026-09-16T14:46:50Z,2026-09-16T14:46:50Z,0,bounced
george@tennesseepeptides.com,tennesseepeptides.com,vendor,2026-09-16T15:50:05Z,2026-09-16T15:50:05Z,0,bounced
info@polybiotech.us,polybiotech.us,vendor,2026-09-16T15:50:05Z,2026-09-16T15:50:05Z,0,bounced
